Date,Start Date,End Date,Origin City,Origin Latitude,Origin Longitude,Destination City,Destination Latitude,Destination Longitude,Sender,Recipient,Notes
1 April 1681,1681-04-01,1681-04-01,Edinburgh,55.95,-3.2,Paris,48.871077,2.342285,"Dunbar, Alexander","Barclay, Robert",-
1 April 1681,1681-04-01,1681-04-01,Ratisbon,49.0134,12.1016,Rome,41.957961,12.453896,"Fleming, Abbot Placidus","Leslie, William",-
1 April 1688,1688-04-01,1688-04-01,Scotland,57.6216,-3.0893,Paris,48.871077,2.342285,"Burnet, David","Whyteford, Charles",-
1 April 1690,1690-04-01,1690-04-01,Rome,41.957961,12.453896,-,-,-,"Leslie, William Lewis","Irvine, John",-
1 August 1693,1693-08-01,1693-08-01,Rome,41.957961,12.453896,Rome,41.957961,12.453896,"Leslie, William Lewis","Leslie, William",-
1 December 1679,1679-12-01,1679-12-01,Aberdeen,57.133333,-2.1,-,-,-,"Innes, John","Irvine, Francis",-
1 December 1691,1691-12-01,1691-12-01,London,51.514125,-0.093689,-,-,-,"Clerk, Sir Robert",-,alias R Willow
1 December 1693,1693-12-01,1693-12-01,Rome,41.957961,12.453896,Paris,48.871077,2.342285,"Leslie, William","Whyteford, Charles",-
1 February 1664,1664-02-01,1664-02-01,-,-,-,Rome,41.957961,12.453896,"Scharp, William","Talbot, Gilbert",-
1 February 1690,1690-02-01,1690-02-01,Dunkirk,51.05,2.366667,Rome,41.957961,12.453896,"Nicolson, Thomas","Leslie, William",-
1 January 1678,1678-01-01,1678-01-01,Rome,41.957961,12.453896,Urbino,43.716667,12.633333,"Davidson, Joseph","Leslie, William","Davidson, OP"
1 January 1687,1687-01-01,1687-01-01,Paris,48.871077,2.342285,-,-,-,"Innes, Lewis","Dupp, Sir Thomas",-
1 January 1687,1687-01-01,1687-01-01,Ratisbon,49.0134,12.1016,Paris,48.871077,2.342285,"Fleming, Abbot Placidus","Whyteford, Charles",-
1 January 1688,1688-01-01,1688-01-01,Rome,41.957961,12.453896,London,51.514125,-0.093689,"Leslie, William","Innes, Lewis",-
1 January 1692,1692-01-01,1692-01-01,Rome,41.957961,12.453896,-,-,-,"Leslie, Walter Lorenzo",Thomson,-
1 January 1692,1692-01-01,1692-01-01,St Germain,46.912384,2.445217,Paris,48.871077,2.342285,"Innes, Lewis",Jean Talon,-
1 July 1678,1678-07-01,1678-07-01,Paris,48.871077,2.342285,Rome,41.957961,12.453896,"Conne, Alexander","Leslie, William Lewis","Leslie, SJ"
1 July 1680,1680-07-01,1680-07-01,"Gordon Castle, alias Bogue",57.62175,-3.08926,Paris,48.871077,2.342285,"Gordon, George",Sinclair,Gordon alias Bannockburn
1 July 1684,1684-07-01,1684-07-01,"Gordon Castle, alias Bogue",57.62175,-3.08926,Paris,48.871077,2.342285,"Innes, Lewis","Whyteford, Charles",-
1 July 1684,1684-07-01,1684-07-01,Scotland,57.6216,-3.0893,Paris,48.871077,2.342285,"Irvine, John","Whyteford, Charles",-
1 July 1687,1687-07-01,1687-07-01,Edinburgh,55.95,-3.2,Paris,48.871077,2.342285,"Strachan, Robert Francis",Jean Talon,-
1 July 1687,1687-07-01,1687-07-01,"Holyroodhouse, Edinburgh",55.952882,-3.172294,-,-,-,"Innes, Lewis",-,-
1 July 1692,1692-07-01,1692-07-01,Rome,41.957961,12.453896,Paris,48.871077,2.342285,"Innes, Walter","Whyteford, Charles",-
1 July 1697,1697-07-01,1697-07-01,Paris,48.871077,2.342285,Rome,41.957961,12.453896,"Adamson, George","Leslie, William",-
1 June 1687,1687-06-01,1687-06-01,Edinburgh,55.95,-3.2,Paris,48.871077,2.342285,"Burnet, David","Whyteford, Charles",-
1 June 1694,1694-06-01,1694-06-01,Rome,41.957961,12.453896,St Germain,46.912384,2.445217,"Leslie, William","Innes, Lewis",-
1 May 1681,1681-05-01,1681-05-01,Edinburgh,55.95,-3.2,Paris,48.871077,2.342285,"Whyteford, Charles","Innes, Lewis",-
1 May 1683,1683-05-01,1683-05-01,Edinburgh,55.95,-3.2,Paris,48.871077,2.342285,"Gordon, George","Whyteford, Charles",Gordon alias Hyppons
1 May 1687,1687-05-01,1687-05-01,Montrose,56.7,-2.45,Paris,48.871077,2.342285,"Dixon, James","Whyteford, Charles",-
1 May 1689,1689-05-01,1689-05-01,St Quentin,48.617635,3.749137,Paris,48.871077,2.342285,"Leslie, George | Roberson","Innes, Lewis",-
1 November 1687,1687-11-01,1687-11-01,Paris,48.871077,2.342285,London,51.514125,-0.093689,Jean Talon,"Innes, Lewis",-
1 November 1689,1689-11-01,1689-11-01,Paris,48.871077,2.342285,Rome,41.957961,12.453896,"Conne, Patrick","Leslie, William",-
1 October 1665,1665-10-01,1665-10-01,Douai,50.367853,3.078642,Stockholm,61.883056,13.75,"Maitland, Lewis","Maitland, Richard",-
1 October 1678,1678-10-01,1678-10-01,Urbino,43.716667,12.633333,-,-,-,"Leslie, William",-,-
1 October 1680,1680-10-01,1680-10-01,Aboyne,57.083333,-2.833333,Paris,48.871077,2.342285,"Fordyne, Robert","Innes, Lewis",-
1 October 1687,1687-10-01,1687-10-01,Subiaco,41.924749,13.094412,Rome,41.957961,12.453896,"Chalmers, Athanasius","Leslie, Walter Lorenzo",-
1 October 1689,1689-10-01,1689-10-01,Dublin,53.3330556,-6.2488889,Paris,48.871077,2.342285,Nairne,"Innes, Lewis",-
1 October 1691,1691-10-01,1691-10-01,Calais,50.9513,1.8587,St Germain,46.912384,2.445217,Thosse,"Innes, Lewis",-
1 October 1691,1691-10-01,1691-10-01,Fochabers,57.616667,-3.083333,-,-,-,"Dunbar, Alexander",Brie,"Dunbar alias, Peter Gray"
1 October 1697,1697-10-01,1697-10-01,Scotland,57.6216,-3.0893,Rome,41.957961,12.453896,"Leslie, Alexander","Leslie, William",-
1 September 1666,1666-09-01,1666-09-01,Freiburg,48,7.85,Rome,41.957961,12.453896,"Irvine, John","Talbot, Gilbert",-
1 September 1671,1671-09-01,1671-09-01,Paris,48.871077,2.342285,Rome,41.957961,12.453896,"Douglas, R","Carolo de Marinis, Hector",-
1 September 1683,1683-09-01,1683-09-01,Paris,48.871077,2.342285,Scotland,57.6216,-3.0893,"Innes, Lewis","Dunbar, Alexander",-
1 September 1685,1685-09-01,1685-09-01,Paris,48.871077,2.342285,-,-,-,"Innes, Lewis","Dunbar, Alexander",-
1 September 1687,1687-09-01,1687-09-01,Edinburgh,55.95,-3.2,Paris,48.871077,2.342285,"Burnet, David","Whyteford, Charles",-
1 September 1692,1692-09-01,1692-09-01,Bordeaux,44.840439,-0.5805,St Germain,46.912384,2.445217,"Roberson, Amader","Innes, Lewis",-
1 September 1692,1692-09-01,1692-09-01,St Germain,46.912384,2.445217,Rome,41.957961,12.453896,"Drummond, John, Lord Melfort, Lord","Leslie, William",-
2 April 1699,1699-04-02,1699-04-02,Paris,48.871077,2.342285,Rome,41.957961,12.453896,"More, Alexander","Leslie, William",-
2 December 1664,1664-12-02,1664-12-02,Milan,45.466667,9.2,Rome,41.957961,12.453896,"Ross, Thomas",Ross,-
2 December 1680,1680-12-02,1680-12-02,Edinburgh,55.95,-3.2,Rome,41.957961,12.453896,"Leslie, Alexander","Leslie, William",Leslie alias Hardboots
2 December 1684,1684-12-02,1684-12-02,Paris,48.871077,2.342285,-,-,-,"Innes, Lewis","Davidson, Robert",-
2 December 1684,1684-12-02,1684-12-02,Paris,48.871077,2.342285,-,-,-,"Innes, Lewis","Dunbar, Alexander",-
2 February 1683,1683-02-02,1683-02-02,Rome,41.957961,12.453896,Paris,48.871077,2.342285,"Jameson, John Paul","Innes, Lewis",-
2 February 1683,1683-02-02,1683-02-02,Rome,41.957961,12.453896,Paris,48.871077,2.342285,"Strachan, Robert Francis","Innes, Lewis",-
2 February 1692,1692-02-02,1692-02-02,Rome,41.957961,12.453896,-,-,-,"Leslie, Walter Lorenzo","Leslie,",-
2 January 1660,1660-01-02,1660-01-02,Douai,50.367853,3.078642,Rome,41.957961,12.453896,"Christie, William","Talbot, Gilbert",-
2 January 1678,1678-01-02,1678-01-02,"Gordon Castle, alias Bogue",57.62175,-3.08926,Paris,48.871077,2.342285,"Gordon, George","Burnet, David",-
2 January 1693,1693-01-02,1693-01-02,Paris,48.871077,2.342285,St Germain,46.912384,2.445217,"Innes, Thomas","Innes, Lewis",-
2 July 1681,1681-07-02,1681-07-02,Scotland,57.6216,-3.0893,Paris,48.871077,2.342285,"Rian, Hugh","MacDonald, Angus",-
2 June 1681,1681-06-02,1681-06-02,Edinburgh,55.95,-3.2,Paris,48.871077,2.342285,"Hay, Andrew","Barclay, Robert",-
2 June 1683,1683-06-02,1683-06-02,Paris,48.871077,2.342285,Scotland,57.6216,-3.0893,"Innes, Lewis","Gordon, George","Gordon alias, Hippons"
2 June 1684,1684-06-02,1684-06-02,Harwich,51.95,1.3,Paris,48.871077,2.342285,"Innes, Lewis","Whyteford, Charles",-
2 June 1684,1684-06-02,1684-06-02,Rome,41.957961,12.453896,Paris,48.871077,2.342285,"Jameson, John Paul","Whyteford, Charles",-
2 June 1693,1693-06-02,1693-06-02,Rome,41.957961,12.453896,Paris,48.871077,2.342285,"Leslie, Walter Lorenzo","Whyteford, Charles",-
2 March 1683,1683-03-02,1683-03-02,Scotland,57.6216,-3.0893,Paris,48.871077,2.342285,"Burnet, David | Gordon, George","Innes, Lewis",-
2 March 1684,1684-03-02,1684-03-02,Paris,48.871077,2.342285,St Quentin,48.617635,3.749137,"Innes, Lewis","Leslie, George",-
2 March 1688,1688-03-02,1688-03-02,Huntly Castle,57.45493,-2.781659,Paris,48.871077,2.342285,"Jameson, John Paul","Whyteford, Charles",-
2 March 1690,1690-03-02,1690-03-02,Paris,48.871077,2.342285,Rome,41.957961,12.453896,"Gordon, Alexander","Leslie, William",-
2 March 1690,1690-03-02,1690-03-02,Paris,48.871077,2.342285,-,-,-,"Leslie, Andrew","Leslie, Walter Lorenzo",-
2 May 1685,1685-05-02,1685-05-02,Paris,48.871077,2.342285,Scotland,57.6216,-3.0893,"Innes, Lewis","Burnet, David",-
2 May 1685,1685-05-02,1685-05-02,Paris,48.871077,2.342285,-,-,-,"Innes, Lewis","Dunbar, Alexander",-
2 May 1685,1685-05-02,1685-05-02,Paris,48.871077,2.342285,-,-,-,"Innes, Lewis","Gordon, John",-
2 May 1685,1685-05-02,1685-05-02,Subiaco,41.924749,13.094412,Rome,41.957961,12.453896,"Perntio, GiambattiSanta","Leslie, Walter Lorenzo",-
2 May 1695,1695-05-02,1695-05-02,Paris,48.871077,2.342285,Rome,41.957961,12.453896,"Innes, Lewis","Leslie, William",-
2 November 1677,1677-11-02,1677-11-02,"Gordon Castle, alias Bogue",57.62175,-3.08926,Paris,48.871077,2.342285,"Dunbar, Alexander",Winter,-
2 November 1684,1684-11-02,1684-11-02,Douai,50.367853,3.078642,Paris,48.871077,2.342285,"Innes, James","Whyteford, Charles",-
2 November 1693,1693-11-02,1693-11-02,St Germain,46.912384,2.445217,-,-,-,"Innes, Lewis",-,-
2 October 1679,1679-10-02,1679-10-02,Mechelen,51.033333,4.466667,Paris,48.871077,2.342285,"Dunbar, Alexander","Barclay, Robert",-
2 October 1679,1679-10-02,1679-10-02,Mechelen,51.033333,4.466667,Paris,48.871077,2.342285,"Dunbar, Alexander","Burnet, David",-
2 October 1680,1680-10-02,1680-10-02,Rome,41.957961,12.453896,Paris,48.871077,2.342285,"Irvine, John","Innes, Lewis",-
2 October 1687,1687-10-02,1687-10-02,Essex,51.833333,0.583333,Rome,41.957961,12.453896,"Strachan, Captain Thomas","Leslie, William",-
2 October 1690,1690-10-02,1690-10-02,Paris,48.871077,2.342285,Rome,41.957961,12.453896,"Whyteford, Charles","Leslie, Walter Lorenzo",-
2 October 1694,1694-10-02,1694-10-02,-,-,-,Paris,48.871077,2.342285,"Wallace, John","Whyteford, Charles",Wallace alias J Cant
2 September 1681,1681-09-02,1681-09-02, ,-,-,Paris,48.871077,2.342285,"Hay, Richard, Abbot of St Jacques","Innes, Lewis",-
2 September 1684,1684-09-02,1684-09-02,London,51.514125,-0.093689,Paris,48.871077,2.342285,"Innes, Lewis","Whyteford, Charles",-
2 September 1687,1687-09-02,1687-09-02,Rome,41.957961,12.453896,Paris,48.871077,2.342285,"Innes, Walter","Whyteford, Charles",-
2 September 1688,1688-09-02,1688-09-02,Edinburgh,55.95,-3.2,Paris,48.871077,2.342285,"Burnet, David","Innes, Lewis",Burnet alias David Lawrence
2 September 1688,1688-09-02,1688-09-02,Rome,41.957961,12.453896,Paris,48.871077,2.342285,"Howard, Cardinal Philip","Innes, Lewis",-
2 September 1690,1690-09-02,1690-09-02,Paris,48.871077,2.342285,Rome,41.957961,12.453896,"Burnet, David","Leslie, William",-
3 April 1680,1680-04-03,1680-04-03,Rome,41.957961,12.453896,Paris,48.871077,2.342285,"Jameson, John Paul","Innes, Lewis",-
3 April 1688,1688-04-03,1688-04-03,Huntly Castle,57.45493,-2.781659,Rome,41.957961,12.453896,"Jameson, John Paul | Strachan, Robert Francis","Leslie, William",-
3 April 1689,1689-04-03,1689-04-03,Edinburgh,55.95,-3.2,Paris,48.871077,2.342285,-,"Whyteford, Charles",-
3 August 1662,1662-08-03,1662-08-03,Eccles,53.4824,-2.3406,Rome,41.957961,12.453896,"Hebrune, John","Talbot, Gilbert",-
3 August 1667,1667-08-03,1667-08-03,"Lille, Urusline Convent",50.632971,3.058585,Rome,41.957961,12.453896,Soeur Marguerite de S. Francois Xavier,"Leslie, William Lewis",-
3 August 1677,1677-08-03,1677-08-03,Ratisbon,49.0134,12.1016,-,-,-,"Fleming, Abbot Placidus",-,-
3 August 1678,1678-08-03,1678-08-03,"Gordon Castle, alias Bogue",57.62175,-3.08926,Paris,48.871077,2.342285,"Dunbar, Alexander","Burnet, David",-
3 August 1685,1685-08-03,1685-08-03,Paris,48.871077,2.342285,Scotland,57.6216,-3.0893,"Innes, Lewis","Burnet, David",-
3 August 1688,1688-08-03,1688-08-03,Huntly Castle,57.45493,-2.781659,Paris,48.871077,2.342285,"Crichton, Alexander","Whyteford, Charles",-
3 August 1693,1693-08-03,1693-08-03,Rome,41.957961,12.453896,Rome,41.957961,12.453896,"Leslie, Walter Lorenzo","Leslie, William Lewis",-
3 August 1694,1694-08-03,1694-08-03,Paris,48.871077,2.342285,Forges-les-Eaux,49.6123,1.534,"Wallace, John","Innes, Lewis",-
3 December 1681,1681-12-03,1681-12-03,Aberdeen,57.133333,-2.1,Paris,48.871077,2.342285,"Leslie, Alexander","Innes, Lewis",-
3 December 1691,1691-12-03,1691-12-03,Paris,48.871077,2.342285,-,-,-,"Thomson, James",Leslie,-
3 December 1697,1697-12-03,1697-12-03,Aberdeen,57.133333,-2.1,-,-,-,"Nicolson, Thomas",-,-
3 February 1679,1679-02-03,1679-02-03,Pesaro,43.9,12.916667,-,-,-,"Leslie, William",-,-
3 February 1680,1680-02-03,1680-02-03,Edinburgh,55.95,-3.2,Paris,48.871077,2.342285,"Hay, Andrew","Barclay, Robert",-
3 February 1683,1683-02-03,1683-02-03,Rome,41.957961,12.453896,Paris,48.871077,2.342285,"Howard, Cardinal Philip","Whyteford, Charles",-
3 February 1685,1685-02-03,1685-02-03,Florence,43.766667,11.25,Rome,41.957961,12.453896,"Adamson, John","Leslie, Walter Lorenzo",-
3 February 1685,1685-02-03,1685-02-03,Paris,48.871077,2.342285,-,-,-,"Innes, Lewis",Lord Chancellor,-
3 February 1688,1688-02-03,1688-02-03,London,51.514125,-0.093689,Paris,48.871077,2.342285,"Innes, Lewis","Whyteford, Charles",-
3 February 1693,1693-02-03,1693-02-03,Rome,41.957961,12.453896,Paris,48.871077,2.342285,"Leslie, Walter Lorenzo","Whyteford, Charles",-
3 January 1681,1681-01-03,1681-01-03,Elgin,57.65,-3.333333,-,-,-,"Burnet, David","""D.B. of Grisy""",Burnet alias David Lawrence
3 January 1684,1684-01-03,1684-01-03,Douai,50.367853,3.078642,Paris,48.871077,2.342285,"Leslie, William","Innes, Lewis",Abbot Leslie?
3 January 1684,1684-01-03,1684-01-03,Paris,48.871077,2.342285,Rome,41.957961,12.453896,"Innes, Lewis","Leslie, William",-
3 January 1684,1684-01-03,1684-01-03,Paris,48.871077,2.342285,Rome,41.957961,12.453896,"Innes, Lewis","McGhie, Andrew",-
3 January 1685,1685-01-03,1685-01-03,Paris,48.871077,2.342285,London,51.514125,-0.093689,"Innes, Lewis","Gordon, John",Gordon is a medical doctor
3 January 1688,1688-01-03,1688-01-03,Rome,41.957961,12.453896,London,51.514125,-0.093689,"Leslie, William","Innes, Lewis",-
3 January 1695,1695-01-03,1695-01-03,Rotterdam,51.916667,4.5,Paris,48.871077,2.342285,"Wallace, John","Compigny, Pierre de",Wallace alias J Paterson; expecting a letter from Tilden in Ratisbon; Compigny is a merchant
3 January 1695,1695-01-03,1695-01-03,St Germain,46.912384,2.445217,Rome,41.957961,12.453896,"Innes, Lewis","Leslie, William",-
3 July 1677,1677-07-03,1677-07-03,Edinburgh,55.95,-3.2,Paris,48.871077,2.342285,"Gordon, George","Burnet, David",-
3 July 1683,1683-07-03,1683-07-03,Paris,48.871077,2.342285,Scotland,57.6216,-3.0893,"Innes, Lewis","Burnet, David","Burnet alias, Mr Lawrence"
3 July 1683,1683-07-03,1683-07-03,Paris,48.871077,2.342285,Scotland,57.6216,-3.0893,"Innes, Lewis","Gordon, George","Gordon alias, Hippons"
3 July 1689,1689-07-03,1689-07-03,Douai,50.367853,3.078642,Paris,48.871077,2.342285,"Innes, John","Innes, Lewis",-
3 June 1665,1665-06-03,1665-06-03,Vienna,48.209533,16.381403,Rome,41.957961,12.453896,"Irvine, John","Talbot, Gilbert",-
3 June 1688,1688-06-03,1688-06-03,Montrose,56.7,-2.45,Edinburgh,55.95,-3.2,Dixon,"Burnet, David",-
3 March 1681,1681-03-03,1681-03-03,Speyside,57.269907,-3.257454,-,-,-,"Burnet, David | Whyteford, Charles",-,-
3 March 1687,1687-03-03,1687-03-03,Edinburgh,55.95,-3.2,Paris,48.871077,2.342285,"Burnet, David","Whyteford, Charles",-
3 March 1688,1688-03-03,1688-03-03,Aberdeen,57.133333,-2.1,Paris,48.871077,2.342285,"Strachan, Robert Francis","Whyteford, Charles",-
3 March 1688,1688-03-03,1688-03-03,London,51.514125,-0.093689,Paris,48.871077,2.342285,"Innes, Lewis","Whyteford, Charles",-
3 March 1690,1690-03-03,1690-03-03,Paris,48.871077,2.342285,Rome,41.957961,12.453896,"Whyteford, Charles","Leslie, Walter Lorenzo",-
3 March 1691,1691-03-03,1691-03-03,Rome,41.957961,12.453896,Paris,48.871077,2.342285,"Leslie, Walter Lorenzo","Whyteford, Charles",-
3 March 1692,1692-03-03,1692-03-03,-,-,-,St Germain,46.912384,2.445217,"Nicolson, Thomas","Innes, Lewis",-
3 March 1693,1693-03-03,1693-03-03,Rome,41.957961,12.453896,Paris,48.871077,2.342285,"Leslie, Walter Lorenzo","Whyteford, Charles",-
3 March 1698,1698-03-03,1698-03-03,St Germain,46.912384,2.445217,Rome,41.957961,12.453896,"Innes, Lewis","Leslie, William","bishop Nicolson has 3 or 4 Highland youths ready to be sent, just waiting on viaticum"
3 March 1699,1699-03-03,1699-03-03,Aberdeen,57.133333,-2.1,-,-,-,"Nicolson, Thomas",-,alias: Thomas Bruce
3 May 1675,1675-05-03,1675-05-03,Paris,48.871077,2.342285,Rome,41.957961,12.453896,"Fontaine, Charles","Leslie, William",-
3 May 1679,1679-05-03,1679-05-03,-,-,-,Rome,41.957961,12.453896,"McGhie, Andrew","Leslie, William",-
3 May 1681,1681-05-03,1681-05-03,Aberdeen,57.133333,-2.1,Paris,48.871077,2.342285,"Innes, Francis | Whyteford, Charles","Innes, Lewis","NB. Whyteford's note is added from 3 May, but he may not have been in Aberdeen; more likely he was in Edinburgh"
3 May 1687,1687-05-03,1687-05-03,London,51.514125,-0.093689,Rome,41.957961,12.453896,Scott,"Leslie, Walter Lorenzo",-
3 May 1692,1692-05-03,1692-05-03,Venice,45.438611,12.326667,Rome,41.957961,12.453896,"Murray, G","Leslie, Walter Lorenzo",-
3 November 1693,1693-11-03,1693-11-03,Rome,41.957961,12.453896,Paris,48.871077,2.342285,"Leslie, Walter Lorenzo","Whyteford, Charles",-
3 November 1699,1699-11-03,1699-11-03,Rome,41.957961,12.453896,-,-,-,"Gordon, George",-,-
3 November 1699,1699-11-03,1699-11-03,Scotland,57.6216,-3.0893,-,-,-,"Donaldson, James",-,-
3 October 1676,1676-10-03,1676-10-03,-,-,-,Rome,41.957961,12.453896,"Talbot, Gilbert","Leslie, William",-
