PERSON,Date,LOCATION 1,Latitude,Longitude,NOTES
"Abercromby, Christian",15 August 1681,Scotland,57.6216,-3.0893,
"Abercromby, David",6 May 1679,Holland,51.366667,5.15,
"Abercromby, John Francis",22 April 1675,Pisa,43.716667,10.383333,
"Abercromby, John Francis",17 April 1676,Pisa,43.716667,10.383333,
"Abercromby, John Francis",16 November 1682,Pisa,43.716667,10.383333,
"Abercromby, John Francis",10 May 1683,Pisa,43.716667,10.383333,
"Abercromby, John Francis",27 December 1687,Livorno,43.55,10.316667,
"Abercromby, John Francis",11 February 1692,Pisa,43.716667,10.383333,
"Achane, Alexander",18 February 1689,Douai,50.367853,3.078642,
"Adamson, George",9 March 1691,Rome,41.957961,12.453896,
"Adamson, George",9 November 1696,Rome,41.957961,12.453896,
"Adamson, George",15 September 1694,Rome,41.957961,12.453896,
"Adamson, George",1 July 1697,Paris,48.871077,2.342285,
"Adamson, George",8 August 1697,Paris,48.871077,2.342285,
"Adamson, George",22 April 1699,Paris,48.871077,2.342285,
"Adamson, George",10 October 1699,Paris,48.871077,2.342285,
"Adamson, George",22 April 1699,Paris,48.871077,2.342285,
"Adamson, John",3 February 1685,Florence,43.766667,11.25,
"Adamson, John",17 February 1685,Florence,43.766667,11.25,
"Adamson, John",9 March 1685,Florence,43.766667,11.25,
"Adorni, Andrea",24 April 1678,Senigallia,43.716667,13.216667,
"Anderson, James",22 July 1667,Madrid,40.408566,-3.69222,
Archangel,29 May 1680,Subiaco,41.924749,13.094412,
Arsan,1 January 1687,Ratisbon,49.0134,12.1016,
"Avener, John",26 April 1688,Edinburgh,55.95,-3.2,
Balentine,12 September 1687,Scotland,57.6216,-3.0893,
"Bannerman, Robert",24 March 1678,Padua,45.414972,11.889351,
"Bannerman, Robert",22 April 1678,Padua,45.414972,11.889351,
"Bannerman, Robert",26 August 1678,Padua,45.414972,11.889351,
"Bannerman, Robert",12 November 1678,Padua,45.414972,11.889351,
"Bannerman, Robert",25 November 1678,Padua,45.414972,11.889351,
"Bannerman, Robert",22 December 1678,Padua,45.414972,11.889351,
"Bannerman, Robert",30 December 1678,Padua,45.414972,11.889351,
"Bannerman, Robert",22 July 1679,Venice,45.438611,12.326667,
"Bannerman, Robert",17 January 1688,Venice,45.438611,12.326667,
"Barberino, Cardinal Charles",19 June 1665,Rome,41.957961,12.453896,
"Barberino, Cardinal Charles",29 June 1680,Rome,41.957961,12.453896,
"Barberino, Cardinal Charles",12 December 1690,Rome,41.957961,12.453896,
